year_month,procedimentos_total,armas_total,drogas_total,dinheiro_total,homicidios_total
2020-06,1,0,0.0,0.0,0
2021-01,590,179,44388.25,68470.27100000001,10
2021-02,536,145,44265.9,230092.6,20
2021-03,451,130,34626.44,129471.19,10
2021-04,566,171,56384.78,42022.05,18
2021-05,572,192,145495.93,48368.46,14
2021-06,515,168,32877.33,96902.0,18
2021-07,564,176,54211.4,50611.4,16
2021-08,535,144,108747.49,25709.8,16
2021-09,558,182,26224.85,72741.15,13
2021-10,558,206,41952.58,35168.4,9
2021-11,604,216,240773.9,44908.55,23
2021-12,590,208,30457.55,86812.2,15
2022-01,613,206,115744.18,109635.55,9
2022-02,616,235,178824.33000000002,47201.95,7
2022-03,655,209,72170.42,58185.7,18
2022-04,674,218,26121.629999999997,80703.5,14
2022-05,647,208,18688.57,120711.59999999999,18
2022-06,629,214,32800.44,53588.16,13
2022-07,682,209,44589.02,74642.98,15
2022-08,724,269,40934.83,93041.0,15
2022-09,692,256,56252.04,55117.5,16
2022-10,582,169,33747.63,49329.25,18
2022-11,570,175,47715.58,54769.65,20
2022-12,636,241,81338.51000000001,51480.3,13
2023-01,628,217,513731.36000000004,63445.96,11
2023-02,611,206,109513.82,73423.55,15
2023-03,649,192,29895.07,66010.95,13
2023-04,635,192,67936.93,49707.1,14
2023-05,753,236,55506.62,95932.15,13
2023-06,727,254,40325.7,130689.55,21
2023-07,687,182,59960.28,36858.4,14
2023-08,677,179,121693.23000000001,37479.200000000004,9
2023-09,746,227,35596.38,64189.8,12
2023-10,865,257,82446.22,54906.7,27
2023-11,771,201,44994.2,46777.1,14
2023-12,720,236,51200.6,73114.25,14
2024-01,770,265,45679.22,55661.7,16
2024-02,697,174,30934.1,101124.5,23
2024-03,690,234,53751.61,43445.35,18
2024-04,693,188,33766.18,41452.4,19
2024-05,695,243,31581.15,41338.55,11
2024-06,659,223,25970.85,144701.54,17
2024-07,618,195,47121.08,72562.95,6
2024-08,655,189,51389.33,66995.7,11
2024-09,717,223,41251.39,85782.96,14
2024-10,661,206,190287.87,283056.55,15
2024-11,699,211,63163.25,99394.45,23
2024-12,654,151,117669.83,97860.8,9
2025-01,719,221,102410.2,57828.5,11
2025-02,747,231,50431.69,104996.75,19
2025-03,756,256,120412.88,47548.05,10
2025-04,818,222,73537.14,87899.09,17
2025-05,817,266,121412.84999999999,60422.2,16
2025-06,768,252,209420.44,69166.1,20
2025-07,717,196,67347.85,58559.7,8
2025-08,807,289,134256.28,100395.43,16
2025-09,899,281,103514.13,306779.61,22
2025-10,806,314,191918.54,76124.16,15
2025-11,756,222,57620.75,119793.55,19
2025-12,739,229,75233.8,97425.45,19
2026-01,524,165,63835.63,43406.46,11
