data,municipio,natureza,total_presos,total_drogas_g,total_armas,lat,long,operacao_tipo,success_score
2025-12-11 00:00:00,FORTALEZA,ART: 33,0,465.0,0,,,operacao_tropa,0.3333333333333333
2025-12-11 00:00:00,LIMOEIRO DO NORTE,ART APREENSÃO DE ARMA DE FOGO TIPO ESPINGARDA 16,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 00:00:00,FORTALEZA,TRÁFICO ART:33,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 22:56:01,Desconhecido,Operação Tropa,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 00:00:00,BOA VIAGEM,ART° 180; RECEPÇÃO,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 22:23:29,IBIAPINA,*,0,12.0,1,,,operacao_tropa,0.6666666666666666
2025-12-11 00:00:00,CRATO,CUMPRIMENTO DE MANDADO DE PRISÃO,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 00:00:00,FORTALEZA,MANDADO EM ABERTO,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 00:00:00,IGUATU,ART:155 C.P,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 00:00:00,Desconhecido,Operação Tropa,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 19:43:27,CAUCAIA,ELEMENTO SUSPEITO,0,0.0,1,,,operacao_tropa,0.3333333333333333
2025-12-11 00:00:00,TRAIRI,ADULTERAÇÃO DE VEÍCULO.,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 00:00:00,Desconhecido,ART 180° CODIGO PENAL (RECEPTACAO),0,0.0,0,,,operacao_tropa,0.0
2025-12-11 16:28:32,Desconhecido,*,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 00:00:00,MARANGUAPE,APREENSÃO DE DROGAS,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 16:18:40,Desconhecido,Operação Tropa,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 00:00:00,BOA VIAGEM,RECUPERAÇÃO DE VEÍCULO ROUBADO,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 00:00:00,FORTALEZA,DESMANCHE DE VEÍCULO.,0,0.0,0,,,operacao_tropa,0.0
2025-12-10 00:00:00,TABULEIRO DO NORTE,MORTE DECORRENTE POR INTERVENÇÃO POLICIAL E APREENSÃO DE ARMA DE FOGO,0,0.0,0,,,operacao_tropa,0.0
2025-12-10 00:00:00,PEDRA BRANCA,ART. 16 ESTATUTO DO DESARMAMENTO LEI 10826,0,0.0,0,,,operacao_tropa,0.0
2025-12-10 00:00:00,Desconhecido,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,0,0.0,0,,,operacao_tropa,0.0
2025-12-11 00:02:55,CAUCAIA,*,0,0.0,0,,,operacao_tropa,0.0
2025-12-10 00:00:00,FORTALEZA,ART 33. TRÁFICO DE DROGAS.,0,130.0,0,,,operacao_tropa,0.3333333333333333
2025-12-10 00:00:00,JUAZEIRO DO NORTE,"RECEPTAÇÃO, ART. 180 DO CP",0,0.0,0,,,operacao_tropa,0.0
2025-12-10 00:00:00,FORQUILHA,RECUPERAÇÃO DE VEÍCULO COM QUEIXA DE ROUBO,0,0.0,0,,,operacao_tropa,0.0
2025-12-10 00:00:00,CASCAVEL,"TRÁFICO DE DROGAS, ART 33",0,4.0,0,,,operacao_tropa,0.3333333333333333
2025-12-10 20:30:57,FORTALEZA,AGRESSÃO/ VIAS DE FATO,0,0.0,0,,,operacao_tropa,0.0
2025-12-10 20:18:03,Desconhecido,*RECUPERAÇÃO DE CELULARES ROUBADOS*,0,0.0,0,,,operacao_tropa,0.0
2025-12-10 00:00:00,FORTALEZA,PORTE ILEGAL ART:14 E,0,210.0,2,,,operacao_tropa,0.6666666666666666
2025-12-10 00:00:00,FORTALEZA,TRÁFICO ART:33,0,420.0,0,,,operacao_tropa,0.3333333333333333
2025-12-10 00:00:00,AQUIRAZ,RECEPTAÇÃO ART.180,0,0.0,0,,,operacao_tropa,0.0
2025-12-10 19:04:21,Desconhecido,"*RECUPERAÇÃO DE VEÍCULO, CONSTANDO ROUBO OU FURTO*",0,0.0,0,,,operacao_tropa,0.0
2025-12-10 00:00:00,UBAJARA,PORTE ILEGAL DE ARMA DE FOGO E MUNIÇÕES (ART. 14 ESTATUTO DO DESARMAMENTO),0,0.0,1,,,operacao_tropa,0.3333333333333333
2025-12-10 16:31:37,PARACURU,*,0,0.0,0,,,operacao_tropa,0.0
2025-12-10 00:00:00,TABULEIRO DO NORTE,APREENSÃO DE VEÍCULO ADULTERADO,0,0.0,0,,,operacao_tropa,0.0
2025-12-10 00:00:00,Desconhecido,"APREENSÃO ARMA DE FOGO, MUNIÇÕES, DROGAS.",0,6.0,0,,,operacao_tropa,0.3333333333333333
2025-12-09 00:00:00,Desconhecido,POSSE ILEGAL DE ARMA DE FOGO,0,0.0,0,,,operacao_tropa,0.0
2025-12-09 00:00:00,PACAJUS,APREENSÃO DE ARMA DE FOGO E DROGAS.,0,0.0,0,,,operacao_tropa,0.0
2025-12-09 23:37:38,PACATUBA,* TRAFICO DE DROGAS E PORTE ILEGAL DE ARMA DE FOGO,0,68.0,0,,,operacao_tropa,0.3333333333333333
2025-12-09 00:00:00,BATURITÉ,APREENSÃO DE VEÍCULO CLONADO,0,0.0,0,,,operacao_tropa,0.0
2025-12-09 00:00:00,CASCAVEL,"ATO INFRACIONAL, ANÁLOGO AO CRIME DE TRÁFICO DE DROGAS.",0,0.0,0,,,operacao_tropa,0.0
2025-10-09 00:00:00,Desconhecido,ART 12 - POSSE IRREGULAR DE ARMA DE FOGO,0,0.0,0,,,operacao_tropa,0.0
2025-12-09 00:00:00,MARACANAÚ,"APREENSÃO DE ARMA, DROGA E DINHEIRO",0,0.0,1,,,operacao_tropa,0.3333333333333333
2025-12-09 00:00:00,FORTALEZA,*SEM PROCEDIMENTO*,0,0.0,0,,,operacao_tropa,0.0
2025-12-09 22:07:09,RUSSAS,* TRÁFICO DE DROGAS ART. 33,0,323.0,0,,,operacao_tropa,0.3333333333333333
2025-12-09 00:00:00,ARARENDÁ,MANDADO DE PRISÃO N° DO MANDADO: 0050658-40.2021.8.06.0037.01.0001-27,0,0.0,0,,,operacao_tropa,0.0
2025-12-09 00:00:00,SOBRAL,RECUPERAÇÃO DE VEÍCULO ROUBADO,0,0.0,0,,,operacao_tropa,0.0
2025-12-09 00:00:00,SANTA QUITÉRIA,TRÁFICO DE DROGAS,0,0.0,0,,,operacao_tropa,0.0
2025-12-09 00:00:00,IGUATU,ART:157 C.P (ROUBO A PESSOA),0,0.0,0,,,operacao_tropa,0.0
2025-12-09 19:54:29,MARACANAÚ,Operação Tropa,0,0.0,0,,,operacao_tropa,0.0
